id_annonce,date_parution,publication,famille_avis,type_avis,siren,tribunal,departement,region,url_annonce,denomination,forme_juridique,code_postal,ville
A20260165166,2026-08-30,A,Créations,Avis initial,109095174,Greffe du Tribunal de Commerce d'Aix-en-Provence,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A20260165166,BHRC,Société par actions simplifiée,13120,Gardanne
A202601651809,2026-08-30,A,Procédures collectives,Avis initial,802649921,Greffe du Tribunal des Activités Economiques de Marseille,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601651809,ENGELHARDT IMMOBILIER,Société à responsabilité limitée,13260,Cassis
B2026016595,2026-08-30,B,Radiations,Avis initial,953459773,Greffe du Tribunal de Commerce de Toulouse,Haute-Garonne,Occitanie,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:B2026016595,SAS RGC,Société par actions simplifiée (à associé unique),31650,Auzielle
