code_2008,libelle_2008,code_2025,libelle_2025,type_correspondance,type_officiel,contenu_commun,source_url,source_reference
81.30Z,Services d'aménagement paysager,81.30Y,Activités de service d’aménagement paysager,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
82.11Z,Services administratifs combinés de bureau,82.10Y,Activités de service de bureau et de soutien administratif,n→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
82.19Z,"Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau",18.12Y,Autres activités d’imprimerie,n↔n,Multiple,- la photocopie de documents,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
82.19Z,"Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau",82.10Y,Activités de service de bureau et de soutien administratif,n↔n,Multiple,"- la préparation des documents, par exemple l'édition, la relecture, la dactylographie, le traitement de texte, etc. et le préarchivage - les autres services de secrétariat - la transcription de documents - la rédaction de lettres ou de curriculum vitae - la location d'une boîte aux lettres et d'autres services postaux et de courrier, par exemple le tri préalable, l'adressage - la duplication - l'établissement de plans - l'exploitation de photocopieurs pour la photocopie en libre-service - la numérisation de fichiers (sans traitement ultérieur des données) - le formatage de livres électroniques",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
82.20Z,Activités de centres d'appels,82.20Y,Activités de centre d’appels,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
82.30Z,"Organisation de foires, salons professionnels et congrès",82.30Y,Organisation de salons professionnels et congrès,1→n,Multiple,"- l'organisation, la promotion et/ou la gestion d'événements, par exemple : • salons professionnels et d'affaires • événements d'entreprise • expositions générales ou spécialisées • conférences et conventions • séminaires, symposiums et ateliers • marchés agricoles et foires artisanales - la mise à disposition du personnel nécessaire au fonctionnement des installations dans lesquelles se déroulent les événements susmentionnés, mais uniquement si la gestion et la mise à disposition du personnel sont effectuées en liaison avec l'organisation, la promotion et/ou la gestion de ces événements",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
82.30Z,"Organisation de foires, salons professionnels et congrès",93.29Y,Activités récréatives et de loisirs n.c.a.,n↔n,Multiple,"- la planification technique, la fourniture, la mise en place et l'exploitation d'équipements audiovisuels et d'effets spéciaux liés à l'organisation de congrès et de foires commerciales",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
82.91Z,Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle,82.91Y,Activités d’agence de recouvrement et de bureau de crédit,n→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
82.92Z,Activités de conditionnement,82.92Y,Activités de conditionnement,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
82.99Z,Autres activités de soutien aux entreprises n.c.a.,43.60Y,Activités de service d’intermédiation pour des travaux de construction spécialisés,1→n,Multiple,- les activités de service d’intermédiation pour des travaux de construction spécialisés,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
82.99Z,Autres activités de soutien aux entreprises n.c.a.,46.11Y,"Activités d’intermédiaire du commerce de gros en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis",n↔n,Multiple,"- les activités des commissaires-priseurs indépendants en tant qu’intermédiaire du commerce de gros en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
82.99Z,Autres activités de soutien aux entreprises n.c.a.,46.12Y,"Activités d’intermédiaire du commerce de gros en combustibles, minerais, métaux et produits chimiques",n↔n,Multiple,"- les activités des commissaires-priseurs indépendants en tant qu’intermédiaire du commerce de gros en combustibles, minerais, métaux et produits chimiques",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
82.99Z,Autres activités de soutien aux entreprises n.c.a.,46.13Y,Activités d’intermédiaire du commerce de gros en bois et matériaux de construction,n↔n,Multiple,- les activités des commissaires-priseurs indépendants en tant qu’intermédiaire du commerce de gros en bois et matériaux de construction,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
82.99Z,Autres activités de soutien aux entreprises n.c.a.,46.14Y,"Activités d’intermédiaire du commerce de gros en machines, équipements industriels, navires et avions",n↔n,Multiple,"- les activités des commissaires-priseurs indépendants en tant qu’intermédiaire du commerce de gros en machines, équipements industriels, navires et avions",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
